Iteration,Total Error,Test Error,Retroactive Error
1,25.67338899375658,25.68867532377653,8.066241008464203e-10
2,25.80210331025266,25.825158060922448,2.3049098655170432
3,24.31499570320813,24.343976638051547,15.842150859949752
4,22.126779874492318,22.15976063489639,3.536832094947961
5,7.793779842259006,7.807726372666071,53.59404368507799
6,3.357015507300595,3.3640270347217767,2.5357990699263837
7,4.634154303818894,4.645220956721356,3.896246880685794e-09
8,4.634154303818894,4.645220956721356,2.226636297564255e-08
9,5.125344746651662,5.139120522645986,6.224435805034389
10,8.360341547158052,8.385320215149909,2.5983597602419195e-06
11,8.1799861211192,8.206881978278389,1.2837233498430578e-09
12,8.179986216749207,8.206882074222827,0.4706604343442251
13,10.76114833935925,10.799765024484522,6.3758136548131006e-09
14,10.76114833935925,10.799765024484522,1.8808472646014707e-07
15,10.76114833935925,10.799765024484522,6.3758136548131006e-09
16,10.76114833935925,10.799765024484522,1.9615554656127188e-06
17,10.76114833935925,10.799765024484522,6.3758136548131006e-09
18,10.76114833935925,10.799765024484522,1.71889880107301e-07
19,11.231718986200212,11.275402725294873,6.3259335547627416e-09
20,11.231843458911497,11.275527682120247,1.9294826358873252e-07
21,11.231718986200212,11.275402725294873,3.8857361062127893e-07
22,11.231718986200212,11.275402725294873,33.91624630486237
23,11.665653927249764,11.714537456260409,9.063184336355334e-08
24,12.016000800396638,12.069973227130053,0.5949389362656801
25,5.581937336128365,5.6086933304816675,0.01982886334851397
26,5.424524282147071,5.4521632780368074,0.3633585363663876
27,2.4562097215496466,2.469466721881675,2.47241887515326
28,1.0091586205662804,1.0149105836907446,1.1370248150790676
29,0.6659269417990932,0.6699241382094641,4.5929585112958193e-07
30,0.6605757571901204,0.6647409661220764,0.00755167046857963
31,1.0027875398508042,1.009414624837987,0.6973832878954953
32,1.0837509664473153,1.0912420465030683,7.31339502119323
33,0.7699132167805556,0.7754688862919973,0.0632729125171636
34,0.8425885879658332,0.8489248825437032,0.00011900653563667873
35,0.8542449893684919,0.8609289220415876,1.4700526662636548e-07
36,0.8542449893684919,0.8609289220415876,4.1119676552625606e-09
37,0.8378722003371678,0.8446832560532321,0.008699693107573125
38,0.2655714085896775,0.2678112070538305,0.0171870998760566
39,0.2116997066708885,0.2135497618199661,6.202799617938126e-05
40,0.2116997066708885,0.2135497618199661,6.156548320077803
41,0.16975513133400782,0.1712904817548098,4.833225392530949e-05
42,0.16975513133400782,0.1712904817548098,1.3504461549018743e-08
43,0.1703812091380437,0.171974311870369,1.024151947610136
44,0.09058113312135092,0.09145580508678745,0.00023321573088708192
45,0.08573224204889685,0.08658635005514055,7.065598300037834e-05
46,0.07900377923090232,0.07981507425577299,0.0033198908110176895
47,0.13449848659378777,0.13592093018207932,2.8614891636635775e-05
48,0.13236553684202143,0.13380607454463514,1.9463406811581763e-05
49,0.13023832431149668,0.13169574667876024,0.00225555148699641
50,0.1589641666790863,0.16079195278815897,0.0882329420962833
51,0.16995544518478403,0.17196195021506816,0.00031460570791352893
52,0.16995354224824313,0.17196002481243777,6.50984828709511e-06
53,0.16995544518478403,0.17196195021506816,0.00031460570791352893
54,0.16995312841809695,0.1719596060966121,0.0048273050382761085
55,0.19138472703060558,0.19370322003899082,5.694216740437241e-05
56,0.19150647416650138,0.19388552649391733,0.002718978316110565
57,0.19726240023341307,0.19977387337901095,3.269901021951682e-05
58,0.19959165401912202,0.20219447408684962,0.00010411459398085299
59,0.20154315356397323,0.20423377457699451,0.0007186265196317265
60,0.20394277000111402,0.2067285783497234,0.00037232248650553856
61,0.20097388478006453,0.20378142878561978,0.0003530291960700538
62,0.19740892043371738,0.20022790409910365,0.0001239729802264833
63,0.19762993291203004,0.20051343865189267,0.00023436311208513416
64,0.19438760327209156,0.19728421672218624,0.00017421028629627244
65,0.19156311444884494,0.19447723116152205,0.0002211390733606322
66,0.18686924410012137,0.18977014112154025,0.00016430607295347954
67,0.18292415153438965,0.18582081519819574,0.00019617173223807072
68,0.17760887806619066,0.180476776033006,0.00010512082961255942
